DATES,OPEN,HIGH,LOW,CLOSE,VOLUME(BTC),VOLUME (CURRENCY),WEIGHTED PRICE,
5/2/16 8:00,448.93,448.93,442.03,442.62,794.3,353767.6,445.38,54
5/2/16 9:00,442.62,444.65,438.59,441.5,874.11,386249.17,441.88,55
5/2/16 10:00,440.97,443.81,440,442.42,753.34,332643.63,441.56,56
5/2/16 11:00,443.72,444.74,441.49,442.61,267.37,118567.95,443.46,57
5/2/16 12:00,442.86,445.5,440.79,444.83,505.29,223797.55,442.91,58
5/2/16 13:00,443.62,445.28,443.4,443.5,186.26,82693.2,443.97,59
5/2/16 14:00,443.5,444.25,441.1,442.26,190.96,84480.86,442.4,60
5/2/16 15:00,441.26,444.16,441.01,443.49,99.81,44172.11,442.55,61
5/2/16 16:00,442.82,443.6,440.7,441.99,423.23,186838.74,441.46,62
5/2/16 17:00,442,444.37,440.55,444.37,319.4,140907.53,441.17,63
5/2/16 18:00,444.37,444.51,441.01,441.73,143.4,63430.51,442.34,64
5/2/16 19:00,441.05,442.99,441.05,442.25,95.39,42164.92,442.01,65
5/2/16 20:00,442.18,445.99,441.2,445.95,310.82,137887.15,443.62,66
5/2/16 21:00,445.95,446.81,444.41,445.4,142.78,63655.93,445.83,67
5/2/16 22:00,445.37,445.42,443.64,444.46,134.71,59857.81,444.35,68
5/2/16 23:00,444.45,444.45,442.07,444.06,329.48,145998.77,443.12,69
5/3/16 0:00,444.06,445.08,442.09,443.55,169.77,75354.05,443.87,70
5/3/16 1:00,443.35,443.35,440.98,441.19,205.31,90631.46,441.43,71
5/3/16 2:00,441.24,442.65,440.78,442.23,170.44,75213.36,441.29,72
5/3/16 3:00,442.23,443.61,441.41,442.3,67.76,29981.23,442.45,73
5/3/16 4:00,442.91,443.74,442.16,443.61,14.45,6404.16,443.24,74
5/3/16 5:00,442.83,444.3,441.96,443.84,205.63,91019.6,442.65,75
5/3/16 6:00,443.4,443.91,442.33,442.89,60.52,26824.83,443.21,76
5/3/16 7:00,442.89,447.9,442.07,447.74,215.12,95723.93,444.97,77
5/3/16 8:00,447.75,448.91,445.98,447.95,168.66,75485.29,447.56,78
5/3/16 9:00,448.1,448.36,447.03,448.36,61.04,27328.37,447.68,79
5/3/16 10:00,448.36,449,447.66,448.07,165.39,74169.18,448.45,80
5/3/16 11:00,448.69,449.8,447.46,448.44,441.84,198125.84,448.41,81
5/3/16 12:00,448.44,450.19,448,449.05,400.8,180110.62,449.38,82
5/3/16 13:00,449.46,450.08,448.4,448.9,174.83,78572.82,449.43,83
5/3/16 14:00,448.9,449.24,448,448.2,424.39,190206.63,448.19,84
5/3/16 15:00,448.2,448.97,448,448.01,465.81,208749.48,448.15,85
5/3/16 16:00,448.01,449.39,447.15,449.37,743.96,333565.67,448.37,86
5/3/16 17:00,449.37,449.41,447.66,448.01,603.7,270773.92,448.52,87
5/3/16 18:00,448.13,451,447.45,450,139.77,62747.82,448.94,88
5/3/16 19:00,450.04,451.3,448.98,451.3,177.65,79952.08,450.05,89
5/3/16 20:00,451.3,451.58,449.84,450.92,122.71,55318.84,450.82,90
5/3/16 21:00,450.91,452,449.06,451,211.75,95591.85,451.44,91
5/3/16 22:00,451,452,450.11,452,148.3,66989.92,451.71,92
5/3/16 23:00,451.97,452,450.16,450.61,17.31,7811.85,451.3,93
